year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,escaped
2013,2013-05-23,San Felipe Valley VMP  - San Felipe Valley VMP Block 6,684.4814453,33.1387703,-116.5494001,,,MVU,San Diego,CALFIRE,TRUE
2013,2013-10-22,Shamrock - Shamrock VMP,2730.345947,39.65908983,-123.4151035,,,MEU,Mendocino,CALFIRE,TRUE
2013,2013-10-31,Shamrock - Shamrock VMP,2730.345947,39.65908983,-123.4151035,,,MEU,Mendocino,CALFIRE,TRUE
2013,2009-01-01,Lone Pine Airport - LPA - South,159.4807129,36.59611864,-118.0465249,,,BDU,San Bernardino,CALFIRE,TRUE
2013,2009-01-01,Lone Pine Airport - LPA - NorthCentral,183.817337,36.61856541,-118.0574354,,,BDU,San Bernardino,CALFIRE,TRUE
2013,2013-05-23,Lake Perris VMP - 2013_North,223.2450562,33.8846083,-117.1466094,,,RRU,Riverside,CALFIRE,TRUE
2011,2011-12-07,PIETA,269.9971008,38.89657663,-122.9611414,,,MEU,Mendocino,CALFIRE,TRUE
2011,2011-01-26,MCARTHUR SWAMP VMP,704.0786133,41.10431993,-121.3972773,,,SHU,Shasta-Trinity,CALFIRE,TRUE
2011,2011-06-22,GALLAIN BURESS,923.0114746,40.07576057,-122.4137214,,,TGU,Tehama-Glenn,CALFIRE,TRUE
2010,2010-01-01,CTC TRAINING CENTER BURN,557.1338501,33.88145118,-117.3050449,,,RRU,Riverside,CALFIRE,TRUE
2008,2008-03-07,GEYSERS VMP,489.4667358,38.83812547,-122.8470537,,,LNU,Sonoma-Lake-Napa,CALFIRE,TRUE
2008,2008-01-01,JOHNSON RANCH VMP,630.6098022,33.56076718,-117.0805448,,,RRU,Riverside,CALFIRE,TRUE
2013,2013-11-13,PEGLEG DFPZ,248.5789642,40.43716176,-120.9870494,,,LNF,,CALFIRE,TRUE
2014,2014-02-25,Mill Creek VMP,319.3044434,39.12984276,-123.1133269,,,MEU,Mendocino,CALFIRE,TRUE
2014,2014-02-25,Mill Creek VMP,231.2128143,39.12271463,-123.1047051,,,MEU,Mendocino,CALFIRE,TRUE
1996,1996-11-05,JOHNSON,476.3461609,33.9766569,-119.8529902,,,CNP,,CALFIRE,TRUE
1997,1997-06-18,OLD RANCH,812.1602783,33.96249656,-119.9964258,,,CNP,,CALFIRE,TRUE
